last_funding_round_amount_c,region_c,s_1_response_in_c,current_pna_end_date_c,owner_id,partner_sales_email_c,shipping_city,affectlayer_is_created_by_chorus_zi_c,hq_city_c,type,icp_c,revenue_c,fy_22_ib_c,created_at_c,internal_user_bg_c,ticker_c,account_id_c,website_referrer_url_c,id,tcp_for_na_only_c,internal_user_c,shipping_street,last_referenced_date,country_11_c,utm_source_c,last_funding_round_date_c,dozisf_zoom_info_inbox_ai_id_c,zoominfo_account_id_c,record_type_id,dozisf_zoom_info_first_updated_c,parent_company_name_c,sic_desc,dozisf_zoom_info_id_c,billing_street,lighthouse_logo_justification_c,ti_db_cloud_prospect_c,phone,number_of_employees_c,jigsaw,s_2_response_time_c,partner_program_c,fy_25_acv_expectation_c,shipping_country,pna_status_c,shipping_state_code,cloud_production_customer_c,hq_state_province_c,support_period_c,account_status_c,connection_type_c,industry,s_4_response_in_c,customer_fit_c,s_3_response_time_c,s_3_response_in_c,why_not_ti_db_cloud_c,last_viewed_date,_fivetran_synced,domain_rank_c,billing_state,employees_c,probability_c,billing_latitude,linked_in_company_profile_url_c,shipping_country_code,utm_medium_c,account_plan_c,fraud_user_c,website,key_messages_c,billing_geocode_accuracy,account_summary_c,billing_country,portal_id_c,no_sync_from_ops_c,remaining_points_c,no_sync_from_stripe_c,s_2_response_in_c,bind_credit_card_a_c,registration_status_c,billing_longitude,if_auto_set_owner_c,utm_content_c,current_effective_pna_c,billing_country_code,developer_activity_score_c,account_tags_c,new_pna_end_date_c,agreement_time_c,industry_legacy_c,dozisf_zoom_info_last_updated_c,accept_service_c,segment_name_c,stage_c,key_milestone_c,rating,_fivetran_deleted,last_modified_date,master_record_id,ip_address_c,cloud_vendors_c,utm_campaign_c,s_1_response_time_c,investors_c,account_progress_c,last_modified_by_id,system_modstamp,lighthouse_c,utm_term_c,past_2_year_employee_growth_rate_c,s_4_response_time_c,vertical_c,photo_url,sync_restart_date_stripe_c,jigsaw_company_id,zoom_info_primary_industry_c,zoom_info_industry_c,last_activity_date_c,current_order_type_c,heavy_user_c,last_activity_date,named_account_c,google_form_id_c,billing_city,shipping_longitude,partner_status_c,technical_support_level_c,parent_id,weekly_update_c,name,funding_rounds_c,hq_country_c,created_by_id,billing_state_code,billing_email_c,approval_poc_number_c,annual_revenue,shipping_postal_code,location_c,shipping_state,segmentation_for_na_emea_reference_c,description,heavy_user_type_c,first_order_start_date_c,founded_year_c,acvamount_c,account_type_for_apac_only_c,billing_postal_code,is_deleted,account_name_original_c,currency_iso_code,dozisf_zoom_info_enrich_status_c,account_allias_c,linkedin_si_company_profile_c,plg_bd_pool_c,total_funding_c,cloud_registration_source_c,target_account_for_na_only_c,is_priority_record,shipping_geocode_accuracy,cloud_production_customer_justification_c,past_1_year_employee_growth_rate_c,number_of_employees,shipping_latitude,account_link_c,accumulate_revenue_to_org_c,created_date,ping_cap_contracting_entity_c,account_source,account_summary_ori_c,account_tags_ori_c,counter_party_code_c,service_partner_c,competency_yes_no_c,solution_partner_c,no_of_certifications_c,contract_number_c,contract_valid_date_c,reseller_c,contract_valid_c,must_win_for_apac_only_c,latest_month_arr_c,open_pipeline_acv_c,cldr_active_accounts_c,segmentation_fy_26_preview_c,country_c,owner_profile_c,fy_25_ppl_gap_for_apac_only_c,owner_is_active_c,affectlayer_affect_layer_notes_c,bn_website_domain_and_path_c,fy_25_segmentation_expectation_for_apac_c,installbase_since_c,icp_fy_26_preview_c,contract_valid_days_c,bn_website_domain_c,ali_cloud_channel_c,tam_c,annual_revenue_c,saa_s_team_na_only_c,company_zip_code_c,x_team_na_only_c,sales_territory_na_only_c
,EMEA,,,0055g000001i4R9AAI,,,False,,,,,False,,,,IBG-B-20240625-002371,,001RC00000DBOFdYAP,,False,,,,,,,,012BV0000004HqmYAE,,,,,,,,,12,,,Reseller;Solution Partner,First Touch,,,,No,,,,,FSI-FinTech,,,,,,,2024-06-28 22:05:03.287000+00:00,,,,,,,,,,,https://cto2b.io/,,,,Lithuania,,True,,True,,,,,False,,,LT,,,,,,,False,,,,,True,2024-06-28 15:26:42+00:00,001RC00000CdLKPYA3,,,,,,,005BV000000IJ2gYAG,2024-06-28 15:26:43+00:00,No,,,,Financial Software,/services/images/photo/001RC00000DBOFdYAP,,,,,,,False,,,2_ABaOnuehE-zloZYvRss9AfmQnjjuKwj13xW7bq80ylR87QTb_VNYaSrVsIpmmlz1Uypo3xg,,,Newly Registered,,,,CTO2B,,,0055g000005aYR8AAM,,,,,,,,,,,,,,,,True,,USD,,,,False,,,,False,,,,,,,,2024-06-25 11:19:48+00:00,"PingCAP (US), Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NA,,,005BV000000IJ2gYAG,,,False,Huntersville,,,2124000.0,False,,,,IBG-B-20230823-001811,,001RC000000W3CdYAK,,False,,,Syria,,,,,012BV0000004HqcYAE,2023-11-04 07:35:57+00:00,,,542371447,11900 Cupworth Ct,,,(704) 947-1894,,,,,,,,,No,North Carolina,,,,Others,,,,,,,2024-12-19 09:29:30.137000+00:00,4347314.0,,72,,,,,,,Unknown,www.aptitude8.com,,,,Syria,,False,,False,,,,,False,,,SY,,,,,Advertising & Marketing,2024-12-18 05:44:06+00:00,False,,,,Non-KA,True,2024-12-18 19:02:12+00:00,001BV000004I5K4YAK,,,,,,,005BV000000IJ2gYAG,2024-12-18 19:02:12+00:00,No,,,,Others,/services/images/photo/001RC000000W3CdYAK,,,Business Services,Advertising &amp; Marketing,,,False,,,,Huntersville,,,,,,Aptitude8,,United States,005BV000000J8N2YAK,,,,2124000,,11900 Cupworth Ct Huntersville North Carolina 28078 United States,,Corp,"Aptitude 8 helps companies Implement, Integrate, and Optimize the HubSpot platform. As HubSpot has moved from a tool to a platform, businesses have found themselves needing a true consulting partner to help them build solutions on HubSpot. With the largest technical consulting team of any HubSpot partner, Aptitude 8 helps companies like Uber Freight, SXSW, Formstack, and even HubSpot themselves deliver the buying experiences their customers demand.",,,2020-01-01,,,28078,True,,USD,,,,False,,,,False,,,,11,,,,2023-08-23 18:49:54+00:00,"PingCAP (US), Inc.",ZoomInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMEA,,,005BV000000IqUeYAK,,,False,,,,8.72171E+8,False,,,STO: TIETO,IBG-B-20220902-000948,,001BV000003G64YYAS,,False,,2024-12-20 10:16:21+00:00,,,,,,012BV0000004HqmYAE,2024-04-03 22:07:57+00:00,TietoEVRY Corp,,396009096,2-6 Aku Korhosen Tie,"<p><strong style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);"">Tietoevry Oyj</strong><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);"">, Tietoevry Corporation, (</span><strong style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);"">Tieto</strong><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);""> prior to Jun 2019) is a Finnish IT software and service company providing IT and product engineering services. Tietoevry is domiciled in Espoo, </span><a href=""https://en.wikipedia.org/wiki/Finland"" target=""_blank"" style=""font-size: 14px; font-family: sans-serif; color: rgb(6, 69, 173); background-color: rgb(255, 255, 255);"">Finland</a><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);"">, and the company&#39;s shares are listed on the </span><a href=""https://en.wikipedia.org/wiki/NASDAQ_OMX_Helsinki"" target=""_blank"" style=""font-size: 14px; font-family: sans-serif; color: rgb(6, 69, 173); background-color: rgb(255, 255, 255);"">NASDAQ OMX Helsinki</a><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);"">, </span><a href=""https://en.wikipedia.org/wiki/NASDAQ_OMX_Stockholm"" target=""_blank"" style=""font-size: 14px; font-family: sans-serif; color: rgb(6, 69, 173); background-color: rgb(255, 255, 255);"">NASDAQ OMX Stockholm</a><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);""> and </span><a href=""https://en.wikipedia.org/wiki/Oslo_Stock_Exchange"" target=""_blank"" style=""font-size: 14px; font-family: sans-serif; color: rgb(6, 69, 173); background-color: rgb(255, 255, 255);"">Oslo Stock Exchange</a><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);"">.</span><a href=""https://en.wikipedia.org/wiki/Tietoevry#cite_note-2"" target=""_blank"" style=""font-size: 12px; font-family: sans-serif; color: rgb(6, 69, 173);""><sup>[2]</sup></a><span style=""font-size: 14px; font-family: sans-serif; color: rgb(32, 33, 34);""> Tietoevry has approximately 24,000 employees across 20 countries, and has customers in the energy, forestry, banking, and healthcare sectors.</span></p>",,+358 3582072010,,,,,,,,,No,,,,,Others,,,,,,2024-12-20 10:16:21+00:00,2024-12-20 22:04:37.531000+00:00,32952.0,,14155,10.0,,,,,,,www.tieto.com,,,,Finland,,False,,False,,,,,False,,,FI,,,,,Computer Software,2024-12-20 06:56:42+00:00,False,,Prospecting,,Non-KA,True,2024-12-20 16:34:11+00:00,001BV00000355t1YAA,,,,,,,005BV000000IJ2gYAG,2024-12-20 16:34:12+00:00,No,,0,,Others,/services/images/photo/001BV000003G64YYAS,,,Business Services,Custom Software &amp; IT Services,,,False,2022-08-29,,,Helsinki,,,,,,TietoEVRY Corp,,,005BV000000HqDpYAK,,,,10000000000,,2-6 Aku Korhosen Tie Helsinki Uusimaa 00441 Finland,,Corp,"Tieto is the largest Nordic IT services company providing full life-cycle services for both the private and public sectors and product development services in the field of communications and embedded technologies. The company has global presence through its product development business and global delivery centres. Tieto is committed to developing enterprises and society through IT by realizing new opportunities in customers' business transformation. At Tieto, we believe in professional development and results. Founded 1968, headquartered in Helsinki, Finland and with approximately over 13 000 experts, the company operates in over 20 countries with net sales of approximately EUR 1.5 billion. Tieto's shares are listed on NASDAQ OMX in Helsinki and Stockholm.",,,1968-01-01,,,00441,True,,USD,,,,False,,,,False,,,0,10000,,,,2022-09-02 10:48:50+00:00,PingCAP Pte. Ltd.,ZoomInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMEA,,,0055g000001i5CfAAI,,,False,,,,,False,2024-05-29 19:14:47+00:00,,,IBG-B-20240702-002395,,001RC00000DWaTtYAL,,False,,,,,,,,012BV0000004HqcYAE,,,,,,,,+380 (96) 384 84 22,,,,,First Touch,,,,No,,,on_demand,email,,,,,,,,2025-01-02 22:06:21.699000+00:00,,,,,,,,,,,,,,,Ukraine,1372813089209230347,True,,True,,2024-06-04 20:18:06+00:00,,,False,,,UA,,,,2024-05-29 19:14:47+00:00,,,True,,,,Non-KA,True,2025-01-02 20:13:44+00:00,001RC000002penKYAQ,176.36.16.30,,,,,,005BV000000IJ2gYAG,2025-01-02 20:13:44+00:00,No,,,,,/services/images/photo/001RC00000DWaTtYAL,,,,,,,False,,,,,,,,,,Poix,,,005BV000000IJ2gYAG,,,,,,,,,,,2024-06-01,,,,,True,,USD,,,,True,,,,False,,,,,,,,2024-07-02 14:17:23+00:00,PingCAP Pte. Ltd.,Direct Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EMEA,,,0055g00000DFSmqAAH,,,False,,,Yes,,False,2021-07-31 11:48:03+00:00,,,IBG-B-20210814-000412,,0015g00000OE2QHAA1,,False,,2025-05-15 10:19:33+00:00,,,,,,012BV0000004HqcYAE,,,,,,,,+351 962 496 235,,,,,,,,,,,,POC,,FSI-FinTech,,,,,,2025-05-15 10:19:33+00:00,2025-05-15 22:07:01.119000+00:00,,,,60.0,,,,,,,,,,,Portugal,1372813089188031284,False,0,False,,2023-04-02 11:01:06+00:00,,,False,,,PT,,,,2021-07-31 11:48:03+00:00,FinTech,,True,,Bidding / Negotiating,,Non-KA,False,2025-05-15 09:32:33+00:00,,149.90.213.61,,,,,,005RC000002K2e1YAC,2025-05-15 09:32:33+00:00,No,,,,Payment,/services/images/photo/0015g00000OE2QHAA1,,,,,,,False,2022-01-06,,,,,,,,,Easypay,,,0055g000002vwgBAAQ,,,1.0,,,,,Corp,,,,,50000,,,False,,USD,,,,False,,,,False,,,,,,,,2021-08-14 00:47:53+00:00,PingCAP Pte. Ltd.,Cloud Sign-Up,,,,False,False,False,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
,APAC,,,005BV000000I6EeYAK,,,False,,,Yes,5352000.0,False,,,,IBG-B-20220621-000759,,001BV0000034Nw6YAE,,False,,,,,,,,012BV0000004HqcYAE,2024-11-19 05:56:42+00:00,,,5000051238,,,Yes,,,,,,,,,,No,,,,,FSI-FinTech,,,,,,,2025-05-15 22:07:02.794000+00:00,178727.0,,15,,,,,,,,www.curve.fi,,,,Switzerland,,False,,False,,,,,False,,,CH,,,,,FinTech,2024-11-21 05:44:34+00:00,False,,,,Non-KA,False,2025-05-15 09:32:36+00:00,,,,,,,,005RC000002K2e1YAC,2025-05-15 09:32:36+00:00,No,,,,Web3,/services/images/photo/001BV0000034Nw6YAE,,,Finance,Lending &amp; Brokerage,,,False,,,,,,,,,,Curve.fi,,,005BV000000I6EeYAK,,,,,,Switzerland,,,"Curve is an exchange liquidity pool on Ethereum (like Uniswap) designed for (1) extremely efficient stablecoin trading (2) low risk, supplemental fee income for liquidity providers, without an opportunity cost. Curve allows users (and smart contracts like 1inch, Paraswap, Totle and Dex.ag) to trade between DAI and USDC with a bespoke low slippage, low fee algorithm designed specifically for stablecoins and earn fees. Behind the scenes, the liquidity pool is also supplied to the Compound protocol or yearn.finance where it generates even more income for liquidity providers.",,,,,,,False,Curve.fi,USD,,Curve.fi,,False,,,,False,,,,,,,,2022-06-21 08:37:17+00:00,PingCAP Pte. Ltd.,Sales Outbound,,,,False,False,False,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
,EMEA,,,0055g00000AWWskAAH,,,False,,,No,,False,2022-01-11 20:30:36+00:00,,,IBG-B-20210917-000447,,0015g00000RRQ0cAAH,,True,,,,,,,,,,,,,,,,+43 614 266 595 1,,,,,,,,,,,,free_trial,,Others,,,,,,,2025-05-15 22:07:25.271000+00:00,,,,,,,,,,,,,,,Austria,1372813089190131301,False,,False,,,,,False,,,AT,,,,2022-01-11 20:30:36+00:00,,,True,,,,Non-KA,False,2025-05-15 09:32:59+00:00,,45.30.93.165,,,,,,005RC000002K2e1YAC,2025-05-15 09:32:59+00:00,No,,,,Others,/services/images/photo/0015g00000RRQ0cAAH,,,,,,,False,2021-08-23,,,,,,,,,osu,,,0055g000001i4R9AAI,,,,,,,,Corp,,,,,,,,False,,USD,,,,False,,,,False,,,,,,,,2021-09-17 23:41:52+00:00,PingCAP Pte. Ltd.,Cloud Sign-Up,,,,False,False,False,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,
